secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1659.8,-105.26991957,40.01046906,0,0,24,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1659.8,-105.26992125,40.01046780,0,0,24,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1659.8,-105.26992024,40.01046621,0,0,24,0,-255,0,0,0,0,0,0,0,0
4,0,0,0.00206,7.4232,0,0,1659.6,-105.26992041,40.01046596,0,-9.70874,24,0,-255,0,0,0,0,0,0,0,0
5,1,0,0.00481,9.8748,0,47,1659.6,-105.26992066,40.01046546,0,0,24,0,-255,0,0,0,0,0,0,0,0
6,1,0,0.00786,10.9836,0,34,1659.6,-105.26992158,40.01046605,0,0,24,0,-255,0,0,0,0,0,0,0,0
7,1,0,0.01091,10.9836,0,34,1659.8,-105.26992192,40.01046546,0,6.55738,24,0,-255,0,0,0,0,0,0,0,0
8,1,0,0.01396,10.9836,0,14,1659.8,-105.26992259,40.01046563,0,0,24,0,-255,0,0,0,0,0,0,0,0
9,38,0,0.01701,10.9836,0,20,1659.6,-105.26992318,40.01046504,0,-6.55738,24,0,-255,0,0,0,0,0,0,0,0
10,43,0,0.02025,11.6568,0,20,1659.6,-105.26992368,40.01046512,0,-0.970874,24,0,-255,0,0,0,0,0,0,0,0
11,43,0,0.02375,12.5964,0,20,1659.6,-105.26992443,40.01046496,0,-0.970874,24,0,-255,0,0,0,0,0,0,0,0
12,44,0,0.02725,12.5964,0,22,1659.6,-105.26992418,40.01046529,0,-0.970874,24,0,-255,0,0,0,0,0,0,0,0
13,45,0,0.03089,13.1328,0,48,1659.6,-105.26992468,40.01046537,0,-0.970874,24,0,-255,0,0,0,0,0,0,0,0
14,63,0,0.03447,12.8664,0,48,1659.6,-105.26992410,40.01046504,0,0,24,0,-255,0,0,0,0,0,0,0,0
15,66,0,0.03829,13.7736,0,42,1659.6,-105.26992393,40.01046496,0,0,24,0,-255,0,0,0,0,0,0,0,0
16,67,0,0.04212,13.7736,0,42,1659.6,-105.26992368,40.01046512,0,0,24,0,-255,0,0,0,0,0,0,0,0
