secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1634,-105.26985411,40.01061172,0,0,22,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1633.6,-105.26985000,40.01061038,0,0,22,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1633.2,-105.26985034,40.01060778,0,0,22,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1633.2,-105.26985319,40.01060720,0,0,22,0,-255,0,0,0,0,0,0,0,0
5,0,0,0.00298,10.5804,0,0,1633.2,-105.26985369,40.01060644,0,0,22,0,-255,0,0,0,0,0,0,0,0
6,1,0,0.00604,11.2536,0,116,1633.2,-105.26985327,40.01060443,0,0,22,0,-255,0,0,0,0,0,0,0,0
7,1,0,0.01008,14.2416,0,70,1633.2,-105.26985361,40.01060359,0,0,22,0,-255,0,0,0,0,0,0,0,0
8,1,0,0.01387,14.2416,0,70,1633.2,-105.26985310,40.01060275,0,0,22,0,-255,0,0,0,0,0,0,0,0
9,1,0,0.01799,14.2416,0,47,1633.2,-105.26985310,40.01060108,0,0,22,0,-255,0,0,0,0,0,0,0,0
10,59,0,0.02233,16.056,0,38,1633.2,-105.26985277,40.01059940,0,0,22,0,-255,0,0,0,0,0,0,0,0
11,78,0,0.02688,16.0884,0,79,1633.2,-105.26985344,40.01059789,0,0,22,0,-255,0,0,0,0,0,0,0,0
12,78,0,0.03199,18.576,0,91,1633.2,-105.26985302,40.01059605,0,0,22,0,-255,0,0,0,0,0,0,0,0
13,76,0,0.03729,18.7452,0,142,1633.4,-105.26985302,40.01059420,0,0.377358,22,0,-255,0,0,0,0,0,0,0,0
14,75,0,0.04228,18.7452,0,125,1633.4,-105.26985394,40.01059286,0,0.377358,22,0,-255,0,0,0,0,0,0,0,0
15,80,0,0.04768,18.6084,0,124,1633.4,-105.26985503,40.01059085,0,0.377358,22,0,-255,0,0,0,0,0,0,0,0
16,80,0,0.05291,19.2456,0,92,1633.2,-105.26985813,40.01058959,0,0,22,0,-255,0,0,0,0,0,0,0,0
17,82,0,0.05837,19.3464,0,92,1633.4,-105.26985947,40.01058834,0,0.36125,22,0,-255,0,0,0,0,0,0,0,0
18,83,0,0.06364,19.3464,0,80,1633.4,-105.26986023,40.01058716,0,0.36125,22,0,-255,0,0,0,0,0,0,0,0
19,82,0,0.06919,19.548,0,69,1633.4,-105.26985989,40.01058540,0,0.36125,22,0,-255,0,0,0,0,0,0,0,0
20,84,0,0.07475,19.6164,0,72,1633.2,-105.26986165,40.01058498,0,0,22,0,-255,0,0,0,0,0,0,0,0
21,84,0,0.08007,19.548,0,67,1633.2,-105.26986232,40.01058373,0,0,22,0,-255,0,0,0,0,0,0,0,0
22,84,0,0.08534,19.3464,0,61,1633.2,-105.26986257,40.01058280,0,0,22,0,-255,0,0,0,0,0,0,0,0
23,83,0,0.09082,19.3464,0,61,1633.2,-105.26986316,40.01058222,0,-0.375821,22,0,-255,0,0,0,0,0,0,0,0
24,83,0,0.09616,19.584,0,64,1633.2,-105.26986375,40.01058163,0,-0.375821,22,0,-255,0,0,0,0,0,0,0,0
25,82,0,0.10167,19.4472,0,71,1633.2,-105.26986433,40.01058096,0,-0.375821,22,0,-255,0,0,0,0,0,0,0,0
26,84,0,0.10693,19.7856,0,65,1633.2,-105.26986651,40.01058138,0,0,22,0,-255,0,0,0,0,0,0,0,0
27,84,0,0.11274,20.052,0,70,1633.4,-105.26986794,40.01058138,0,-0.0154782,22,0,-255,0,0,0,0,0,0,0,0
28,85,0,0.11822,20.052,0,67,1633.4,-105.26986928,40.01058130,0,-0.0154782,22,0,-255,0,0,0,0,0,0,0,0
29,85,0,0.12384,20.052,0,54,1633.4,-105.26987012,40.01058079,0,-0.0154782,22,0,-255,0,0,0,0,0,0,0,0
30,84,0,0.12931,20.052,0,57,1633.4,-105.26987154,40.01058046,0,0.344234,22,0,-255,0,0,0,0,0,0,0,0
31,85,0,0.13493,19.7496,0,54,1633.4,-105.26987255,40.01058004,0,0.344234,22,0,-255,0,0,0,0,0,0,0,0
32,85,0,0.14018,19.7496,0,54,1633.4,-105.26987423,40.01057954,0,0.344234,22,0,-255,0,0,0,0,0,0,0,0
33,85,0,0.14592,19.7856,0,58,1633.4,-105.26987515,40.01057920,0,0.344234,22,0,-255,0,0,0,0,0,0,0,0
34,85,0,0.15142,20.1888,0,66,1633.4,-105.26987573,40.01057878,0,0.344234,22,0,-255,0,0,0,0,0,0,0,0
35,85,0,0.1571,20.088,0,60,1633.4,-105.26987699,40.01057861,0,0.344234,22,0,-255,0,0,0,0,0,0,0,0
36,86,0,0.16252,19.8504,0,60,1633.4,-105.26987842,40.01057853,0,0.344234,22,0,-255,0,0,0,0,0,0,0,0
37,85,0,0.16815,19.8504,0,44,1633.4,-105.26987917,40.01057870,0,0,22,0,-255,0,0,0,0,0,0,0,0
38,85,0,0.17343,19.9188,0,55,1633.4,-105.26988076,40.01057928,0,0,22,0,-255,0,0,0,0,0,0,0,0
39,85,0,0.1792,19.9188,0,58,1633.4,-105.26988143,40.01057954,0,0,22,0,-255,0,0,0,0,0,0,0,0
40,85,0,0.1846,19.7856,0,60,1633.4,-105.26988269,40.01057995,0,0,22,0,-255,0,0,0,0,0,0,0,0
41,85,0,0.19018,19.7496,0,60,1633.4,-105.26988378,40.01058071,0,0,22,0,-255,0,0,0,0,0,0,0,0
42,85,0,0.19557,19.7496,0,60,1633.4,-105.26988353,40.01058104,0,0,22,0,-255,0,0,0,0,0,0,0,0
43,85,0,0.20129,20.1888,0,70,1633.4,-105.26988495,40.01058180,0,0,22,0,-255,0,0,0,0,0,0,0,0
44,87,0,0.2067,20.4228,0,96,1633.4,-105.26988504,40.01058130,0,0,22,0,-255,0,0,0,0,0,0,0,0
45,87,0,0.21262,20.3544,0,79,1633.4,-105.26988546,40.01058155,0,0,22,0,-255,0,0,0,0,0,0,0,0
46,86,0,0.21813,20.2536,0,60,1633.4,-105.26988596,40.01058104,0,0,22,0,-255,0,0,0,0,0,0,0,0
47,87,0,0.22387,20.2536,0,64,1633.2,-105.26988479,40.01058079,0,-0.348432,22,0,-255,0,0,0,0,0,0,0,0
48,87,0,0.22933,20.0196,0,57,1633.2,-105.26988453,40.01058046,0,-0.348432,22,0,-255,0,0,0,0,0,0,0,0
49,85,0,0.23493,19.7856,0,54,1633.2,-105.26988445,40.01058046,0,-0.348432,22,0,-255,0,0,0,0,0,0,0,0
