secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1657.6,-105.26994195,40.01056168,0,0,28,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1657.2,-105.26994237,40.01056068,0,0,28,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1657.2,-105.26994203,40.01055917,0,0,28,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1657,-105.26994162,40.01055791,0,0,28,0,-255,0,0,0,0,0,0,0,0
5,0,0,0.00319,11.4876,0,58,1656.8,-105.26994094,40.01055699,0,-6.26959,28,0,-255,0,0,0,0,0,0,0,0
6,1,0,0.00704,13.8744,0,77,1656.8,-105.26994094,40.01055691,0,0,28,0,-255,0,0,0,0,0,0,0,0
7,1,0,0.0109,13.8744,0,64,1656.8,-105.26994094,40.01055699,0,0,28,0,-255,0,0,0,0,0,0,0,0
8,1,0,0.01513,15.2172,0,58,1656.8,-105.26994094,40.01055691,0,0,28,0,-255,0,0,0,0,0,0,0,0
9,67,0,0.01985,16.9956,0,86,1657,-105.26994094,40.01055699,0,4.23729,28,0,-255,0,0,0,0,0,0,0,0
10,67,0,0.02457,16.9956,0,62,1657,-105.26994103,40.01055691,0,-0.20323,28,0,-255,0,0,0,0,0,0,0,0
11,67,0,0.02939,17.3664,0,62,1656.8,-105.26994103,40.01055691,0,-0.618168,28,0,-255,0,0,0,0,0,0,0,0
12,62,0,0.03422,17.3664,0,103,1656.8,-105.26994094,40.01055691,0,-0.618168,28,0,-255,0,0,0,0,0,0,0,0
13,64,0,0.03909,17.5356,0,103,1656.8,-105.26994094,40.01055707,0,-0.618168,28,0,-255,0,0,0,0,0,0,0,0
14,64,0,0.04403,17.802,0,105,1656.8,-105.26994094,40.01055707,0,-0.618168,28,0,-255,0,0,0,0,0,0,0,0
15,64,0,0.04912,18.306,0,102,1656.8,-105.26994086,40.01055716,0,0,28,0,-255,0,0,0,0,0,0,0,0
16,67,0,0.0542,18.306,0,90,1656.8,-105.26994094,40.01055716,0,0,28,0,-255,0,0,0,0,0,0,0,0
17,68,0,0.05929,18.306,0,87,1656.8,-105.26994094,40.01055707,0,0,28,0,-255,0,0,0,0,0,0,0,0
18,70,0,0.06452,18.846,0,86,1656.8,-105.26994103,40.01055716,0,0,28,0,-255,0,0,0,0,0,0,0,0
19,70,0,0.06984,19.1448,0,80,1657,-105.26994094,40.01055716,0,-0.0389979,28,0,-255,0,0,0,0,0,0,0,0
20,72,0,0.07521,19.314,0,80,1657,-105.26994086,40.01055707,0,-0.0389979,28,0,-255,0,0,0,0,0,0,0,0
21,73,0,0.08057,19.314,0,71,1657,-105.26994086,40.01055707,0,0.37594,28,0,-255,0,0,0,0,0,0,0,0
22,74,0,0.08607,19.7856,0,80,1657,-105.26994086,40.01055716,0,0.37594,28,0,-255,0,0,0,0,0,0,0,0
23,74,0,0.09157,19.818,0,79,1657,-105.26994094,40.01055707,0,0.37594,28,0,-255,0,0,0,0,0,0,0,0
24,74,0,0.09721,20.2896,0,78,1657,-105.26994094,40.01055716,0,0.37594,28,0,-255,0,0,0,0,0,0,0,0
25,74,0,0.10284,20.2896,0,78,1657,-105.26994086,40.01055716,0,0.37594,28,0,-255,0,0,0,0,0,0,0,0
26,76,0,0.10848,20.2896,0,80,1656.8,-105.26994086,40.01055716,0,0.0213299,28,0,-255,0,0,0,0,0,0,0,0
27,76,0,0.11411,20.2536,0,71,1657,-105.26994086,40.01055716,0,0.37657,28,0,-255,0,0,0,0,0,0,0,0
28,76,0,0.11974,20.2896,0,67,1657,-105.26994078,40.01055716,0,0.37657,28,0,-255,0,0,0,0,0,0,0,0
29,76,0,0.12555,20.9268,0,93,1656.8,-105.26994086,40.01055716,0,-0.343604,28,0,-255,0,0,0,0,0,0,0,0
30,76,0,0.13128,20.6244,0,89,1657,-105.26994094,40.01055716,0,0,28,0,-255,0,0,0,0,0,0,0,0
31,78,0,0.13701,20.6244,0,71,1657,-105.26994086,40.01055716,0,0,28,0,-255,0,0,0,0,0,0,0,0
32,78,0,0.14282,20.8944,0,73,1657,-105.26994086,40.01055724,0,0,28,0,-255,0,0,0,0,0,0,0,0
33,78,0,0.1485,20.4552,0,56,1657,-105.26994086,40.01055724,0,0,28,0,-255,0,0,0,0,0,0,0,0
34,78,0,0.15432,20.9592,0,56,1657,-105.26994086,40.01055716,0,0,28,0,-255,0,0,0,0,0,0,0,0
35,78,0,0.16014,20.9592,0,56,1657,-105.26994078,40.01055707,0,0,28,0,-255,0,0,0,0,0,0,0,0
36,78,0,0.16589,20.6928,0,74,1657,-105.26994086,40.01055724,0,0.360046,28,0,-255,0,0,0,0,0,0,0,0
37,78,0,0.17175,21.096,0,72,1657,-105.26994086,40.01055716,0,0,28,0,-255,0,0,0,0,0,0,0,0
38,78,0,0.17752,20.7576,0,81,1657,-105.26994086,40.01055716,0,0,28,0,-255,0,0,0,0,0,0,0,0
39,78,0,0.18345,21.3624,0,70,1656.8,-105.26994086,40.01055707,0,0.011772,28,0,-255,0,0,0,0,0,0,0,0
40,78,0,0.18939,21.3624,0,82,1656.8,-105.26994086,40.01055716,0,-0.337268,28,0,-255,0,0,0,0,0,0,0,0
41,80,0,0.19526,21.1608,0,72,1656.8,-105.26994094,40.01055707,0,-0.337268,28,0,-255,0,0,0,0,0,0,0,0
42,80,0,0.20132,21.8016,0,86,1656.8,-105.26994086,40.01055707,0,-0.337268,28,0,-255,0,0,0,0,0,0,0,0
43,80,0,0.20726,21.3984,0,74,1656.8,-105.26994086,40.01055707,0,-0.337268,28,0,-255,0,0,0,0,0,0,0,0
44,81,0,0.21324,21.5316,0,74,1656.8,-105.26994103,40.01055699,0,-0.337268,28,0,-255,0,0,0,0,0,0,0,0
45,79,0,0.21922,21.5316,0,72,1656.8,-105.26994103,40.01055707,0,-0.337268,28,0,-255,0,0,0,0,0,0,0,0
46,79,0,0.2251,21.1608,0,72,1656.8,-105.26994103,40.01055699,0,-0.337268,28,0,-255,0,0,0,0,0,0,0,0
47,79,0,0.23098,21.1608,0,66,1656.8,-105.26994103,40.01055699,0,-0.337268,28,0,-255,0,0,0,0,0,0,0,0
48,79,0,0.23686,21.1608,0,70,1656.8,-105.26994103,40.01055699,0,-0.337268,28,0,-255,0,0,0,0,0,0,0,0
49,78,0,0.24274,21.1608,0,70,1657,-105.26994103,40.01055691,0,0.340136,28,0,-255,0,0,0,0,0,0,0,0
50,78,0,0.24873,21.564,0,70,1657,-105.26994111,40.01055699,0,0.340136,28,0,-255,0,0,0,0,0,0,0,0
51,79,0,0.25468,21.4308,0,85,1657,-105.26994111,40.01055691,0,0.340136,28,0,-255,0,0,0,0,0,0,0,0
52,79,0,0.26063,21.4308,0,81,1657,-105.26994111,40.01055691,0,0.340136,28,0,-255,0,0,0,0,0,0,0,0
53,79,0,0.26662,21.5316,0,75,1657.2,-105.26994111,40.01055691,0,0.674026,28,0,-255,0,0,0,0,0,0,0,0
54,80,0,0.27265,21.7332,0,75,1657.2,-105.26994111,40.01055691,0,0.674026,28,0,-255,0,0,0,0,0,0,0,0
55,80,0,0.27859,21.3624,0,75,1657,-105.26994120,40.01055691,0,0.337326,28,0,-255,0,0,0,0,0,0,0,0
56,80,0,0.28452,21.3624,0,64,1657.2,-105.26994120,40.01055707,0,0.674594,28,0,-255,0,0,0,0,0,0,0,0
57,79,0,0.29051,21.564,0,70,1657.2,-105.26994111,40.01055691,0,0.674594,28,0,-255,0,0,0,0,0,0,0,0
58,80,0,0.29648,21.4992,0,70,1657.2,-105.26994120,40.01055691,0,0.674594,28,0,-255,0,0,0,0,0,0,0,0
59,80,0,0.30249,21.6324,0,73,1657,-105.26994111,40.01055682,0,0,28,0,-255,0,0,0,0,0,0,0,0
60,80,0,0.3084,21.2616,0,76,1657,-105.26994111,40.01055682,0,0,28,0,-255,0,0,0,0,0,0,0,0
61,80,0,0.3143,21.2616,0,70,1657,-105.26994128,40.01055691,0,0,28,0,-255,0,0,0,0,0,0,0,0
62,80,0,0.32034,21.7332,0,81,1657,-105.26994111,40.01055691,0,0,28,0,-255,0,0,0,0,0,0,0,0
63,82,0,0.32635,21.6324,0,73,1657,-105.26994111,40.01055682,0,-0.332211,28,0,-255,0,0,0,0,0,0,0,0
64,82,0,0.33235,21.6,0,78,1657,-105.26994111,40.01055682,0,-0.332211,28,0,-255,0,0,0,0,0,0,0,0
65,82,0,0.33838,21.7008,0,68,1657,-105.26994103,40.01055682,0,0,28,0,-255,0,0,0,0,0,0,0,0
66,82,0,0.34441,21.7008,0,61,1657,-105.26994111,40.01055682,0,-0.332779,28,0,-255,0,0,0,0,0,0,0,0
67,80,0,0.35037,21.4632,0,61,1657,-105.26994111,40.01055682,0,-0.332779,28,0,-255,0,0,0,0,0,0,0,0
68,80,0,0.35633,21.4632,0,67,1657,-105.26994103,40.01055674,0,-0.332779,28,0,-255,0,0,0,0,0,0,0,0
69,80,0,0.3622,21.1284,0,61,1656.8,-105.26994103,40.01055674,0,-0.340716,28,0,-255,0,0,0,0,0,0,0,0
70,79,0,0.36807,21.1284,0,61,1656.8,-105.26994094,40.01055674,0,-0.340716,28,0,-255,0,0,0,0,0,0,0,0
71,79,0,0.37382,20.6928,0,49,1656.8,-105.26994086,40.01055674,0,-0.340716,28,0,-255,0,0,0,0,0,0,0,0
72,78,0,0.37956,20.6928,0,49,1656.8,-105.26994086,40.01055674,0,-0.340716,28,0,-255,0,0,0,0,0,0,0,0
73,78,0,0.38531,20.6928,0,49,1656.8,-105.26994086,40.01055674,0,-0.340716,28,0,-255,0,0,0,0,0,0,0,0
74,76,0,0.39106,20.6928,0,67,1657,-105.26994086,40.01055674,0,0,28,0,-255,0,0,0,0,0,0,0,0
75,76,0,0.39679,20.6244,0,67,1657,-105.26994078,40.01055674,0,0,28,0,-255,0,0,0,0,0,0,0,0
76,77,0,0.40258,20.8584,0,68,1657,-105.26994044,40.01055707,0,0,28,0,-255,0,0,0,0,0,0,0,0
77,77,0,0.40829,20.556,0,76,1656.8,-105.26994053,40.01055716,0,-0.343152,28,0,-255,0,0,0,0,0,0,0,0
