secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0.00021,0,0,0,1623.8,-105.26985495,40.01035524,0,0,20,0,-255,0,0,0,0,0,0,0,0
2,0,0,0.00039,0,0,0,1623.8,-105.26985159,40.01035339,0,0,20,0,-255,0,0,0,0,0,0,0,0
3,0,0,0.00039,0,0,0,1623.6,-105.26985159,40.01035188,0,0,20,0,-255,0,0,0,0,0,0,0,0
4,0,0,0.00039,0,0,0,1623.6,-105.26985176,40.01035121,0,0,20,0,-255,0,0,0,0,0,0,0,0
5,0,0,0.00039,0,0,9,1623.4,-105.26984841,40.01034711,0,0,20,0,-255,0,0,0,0,0,0,0,0
6,0,0,0.00388,12.564,0,97,1623.4,-105.26984556,40.01034861,0,0,20,0,-255,0,0,0,0,0,0,0,0
7,1,0,0.00737,12.564,0,97,1623.6,-105.26984413,40.01034920,0,5.73066,20,0,-255,0,0,0,0,0,0,0,0
8,75,0,0.01121,13.806,0,49,1623.6,-105.26984288,40.01035012,0,0,20,0,-255,0,0,0,0,0,0,0,0
9,75,0,0.01546,14.9148,0,40,1623.6,-105.26983802,40.01035121,0,0,20,0,-255,0,0,0,0,0,0,0,0
10,76,0,0.01949,14.9148,0,80,1623.6,-105.26984137,40.01034987,0,0.573066,20,0,-255,0,0,0,0,0,0,0,0
11,76,0,0.02364,14.9148,0,80,1623.6,-105.26984179,40.01035079,0,0.573066,20,0,-255,0,0,0,0,0,0,0,0
12,71,0,0.02824,16.56,0,89,1623.8,-105.26984195,40.01035306,0,1.00785,20,0,-255,0,0,0,0,0,0,0,0
13,67,0,0.03344,18.7452,0,134,1623.8,-105.26984237,40.01035381,0,1.00785,20,0,-255,0,0,0,0,0,0,0,0
14,68,0,0.03851,18.2412,0,134,1623.8,-105.26984313,40.01035641,0,1.00785,20,0,-255,0,0,0,0,0,0,0,0
15,68,0,0.04407,19.5156,0,125,1624,-105.26984330,40.01035800,0,1.36756,20,0,-255,0,0,0,0,0,0,0,0
16,65,0,0.04935,19.5156,0,143,1624,-105.26984296,40.01035742,0,1.36756,20,0,-255,0,0,0,0,0,0,0,0
17,68,0,0.05525,21.2292,0,151,1624,-105.26984112,40.01035867,0,0.794495,20,0,-255,0,0,0,0,0,0,0,0
18,68,0,0.06127,21.6648,0,203,1624,-105.26984078,40.01036077,0,0.794495,20,0,-255,0,0,0,0,0,0,0,0
19,67,0,0.06752,22.5072,0,157,1624,-105.26984036,40.01035842,0,0.794495,20,0,-255,0,0,0,0,0,0,0,0
20,70,0,0.07386,22.842,0,147,1624,-105.26984061,40.01035968,0,0.794495,20,0,-255,0,0,0,0,0,0,0,0
21,73,0,0.08038,22.842,0,169,1624,-105.26984028,40.01035641,0,0.794495,20,0,-255,0,0,0,0,0,0,0,0
22,69,0,0.08674,23.5116,0,169,1624,-105.26983944,40.01035557,0,0.359712,20,0,-255,0,0,0,0,0,0,0,0
23,70,0,0.09357,24.6204,0,155,1624,-105.26983718,40.01035574,0,0.359712,20,0,-255,0,0,0,0,0,0,0,0
24,70,0,0.10064,25.4268,0,207,1624,-105.26983558,40.01035599,0,0.359712,20,0,-255,0,0,0,0,0,0,0,0
25,70,0,0.10794,26.3016,0,291,1623.8,-105.26983667,40.01035599,0,-0.273973,20,0,-255,0,0,0,0,0,0,0,0
26,72,0,0.11525,26.3016,0,291,1623.8,-105.26983399,40.01035440,0,-0.273973,20,0,-255,0,0,0,0,0,0,0,0
27,72,0,0.1231,27.5112,0,253,1623.8,-105.26983273,40.01035565,0,-0.273973,20,0,-255,0,0,0,0,0,0,0,0
28,75,0,0.13079,28.4508,0,253,1623.8,-105.26983215,40.01035658,0,-0.273973,20,0,-255,0,0,0,0,0,0,0,0
29,77,0,0.13872,28.5516,0,267,1623.8,-105.26983081,40.01035767,0,-0.273973,20,0,-255,0,0,0,0,0,0,0,0
30,79,0,0.14665,28.5516,0,223,1623.8,-105.26983106,40.01035842,0,-0.273973,20,0,-255,0,0,0,0,0,0,0,0
31,79,0,0.15505,30.2328,0,317,1623.8,-105.26983156,40.01035742,0,-0.273973,20,0,-255,0,0,0,0,0,0,0,0
32,84,0,0.16341,30.0636,0,276,1623.8,-105.26983064,40.01035683,0,-0.273973,20,0,-255,0,0,0,0,0,0,0,0
33,84,0,0.17229,31.14,0,304,1623.8,-105.26982963,40.01035742,0,-0.273973,20,0,-255,0,0,0,0,0,0,0,0
34,84,0,0.18075,31.3416,0,267,1623.8,-105.26982997,40.01035758,0,-0.273973,20,0,-255,0,0,0,0,0,0,0,0
35,86,0,0.18946,31.3416,0,267,1623.8,-105.26982997,40.01035876,0,0,20,0,-255,0,0,0,0,0,0,0,0
36,88,0,0.19828,31.7772,0,270,1624,-105.26982947,40.01035884,0,0.226757,20,0,-255,0,0,0,0,0,0,0,0
37,88,0,0.20724,32.2452,0,270,1624,-105.26982880,40.01035926,0,0.226757,20,0,-255,0,0,0,0,0,0,0,0
38,90,0,0.21624,32.382,0,270,1624,-105.26982712,40.01035633,0,0.226757,20,0,-255,0,0,0,0,0,0,0,0
39,90,0,0.22545,32.382,0,242,1623.8,-105.26982896,40.01035825,0,0,20,0,-255,0,0,0,0,0,0,0,0
40,90,0,0.23425,32.382,0,273,1623.8,-105.26982645,40.01035591,0,0,20,0,-255,0,0,0,0,0,0,0,0
41,92,0,0.24322,32.382,0,304,1623.8,-105.26982595,40.01035440,0,0,20,0,-255,0,0,0,0,0,0,0,0
42,92,0,0.25222,32.382,0,300,1623.6,-105.26982611,40.01035197,0,-0.21262,20,0,-255,0,0,0,0,0,0,0,0
43,93,0,0.26167,34.0272,0,320,1623.6,-105.26982578,40.01034970,0,-0.21262,20,0,-255,0,0,0,0,0,0,0,0
44,94,0,0.27112,34.0272,0,320,1623.8,-105.26982645,40.01035054,0,0,20,0,-255,0,0,0,0,0,0,0,0
45,94,0,0.28089,34.3296,0,280,1623.8,-105.26982662,40.01034903,0,0,20,0,-255,0,0,0,0,0,0,0,0
46,94,0,0.29013,34.0956,0,245,1623.8,-105.26982544,40.01034753,0,-0.227737,20,0,-255,0,0,0,0,0,0,0,0
47,96,0,0.2997,34.4628,0,245,1623.8,-105.26982586,40.01034711,0,-0.227737,20,0,-255,0,0,0,0,0,0,0,0
48,96,0,0.30926,34.398,0,293,1623.8,-105.26982444,40.01034970,0,-0.227737,20,0,-255,0,0,0,0,0,0,0,0
49,96,0,0.31881,34.398,0,296,1623.8,-105.26982502,40.01035021,0,-0.010582,20,0,-255,0,0,0,0,0,0,0,0
50,96,0,0.32837,34.398,0,313,1623.8,-105.26982477,40.01035172,0,-0.010582,20,0,-255,0,0,0,0,0,0,0,0
51,96,0,0.33819,34.398,0,303,1623.8,-105.26982444,40.01035415,0,-0.010582,20,0,-255,0,0,0,0,0,0,0,0
52,96,0,0.34765,35.0352,0,300,1623.8,-105.26982427,40.01035264,0,0.21164,20,0,-255,0,0,0,0,0,0,0,0
53,97,0,0.35735,34.9344,0,269,1624,-105.26982435,40.01035331,0,0.417826,20,0,-255,0,0,0,0,0,0,0,0
54,97,0,0.36705,34.9344,0,269,1624,-105.26982427,40.01035314,0,0.206186,20,0,-255,0,0,0,0,0,0,0,0
55,97,0,0.37676,34.9344,0,269,1624,-105.26982427,40.01035306,0,0.206186,20,0,-255,0,0,0,0,0,0,0,0
56,96,0,0.38638,34.632,0,263,1624,-105.26982427,40.01035339,0,0.206186,20,0,-255,0,0,0,0,0,0,0,0
57,97,0,0.39613,34.4628,0,266,1624,-105.26982427,40.01035364,0,0.206186,20,0,-255,0,0,0,0,0,0,0,0
58,97,0,0.40555,34.5636,0,265,1623.8,-105.26982419,40.01035398,0,0,20,0,-255,0,0,0,0,0,0,0,0
59,97,0,0.41515,34.5636,0,265,1623.8,-105.26982402,40.01035440,0,0,20,0,-255,0,0,0,0,0,0,0,0
60,97,0,0.42475,34.5636,0,265,1623.8,-105.26982419,40.01035498,0,0,20,0,-255,0,0,0,0,0,0,0,0
61,97,0,0.43379,32.5152,0,13,1623.8,-105.26982410,40.01035540,0,0,20,0,-255,0,0,0,0,0,0,0,0
62,97,0,0.44246,31.2048,0,0,1624,-105.26982368,40.01035440,0,0.224552,20,0,-255,0,0,0,0,0,0,0,0
63,0,0,0.45119,31.2048,0,0,1624,-105.26982452,40.01035398,0,0.0183663,20,0,-255,0,0,0,0,0,0,0,0
64,0,0,0.45944,29.9304,0,0,1624,-105.26982578,40.01035532,0,0.0183663,20,0,-255,0,0,0,0,0,0,0,0
65,0,0,0.46755,29.1888,0,0,1624,-105.26982452,40.01035415,0,0.0183663,20,0,-255,0,0,0,0,0,0,0,0
66,0,0,0.47536,28.116,0,0,1624,-105.26982452,40.01035406,0,0.0183663,20,0,-255,0,0,0,0,0,0,0,0
67,0,0,0.48289,27.108,0,0,1623.8,-105.26982444,40.01035314,0,-0.247238,20,0,-255,0,0,0,0,0,0,0,0
68,0,0,0.49042,27.108,0,0,1623.8,-105.26982502,40.01035524,0,-0.0349237,20,0,-255,0,0,0,0,0,0,0,0
69,0,0,0.49785,26.2692,0,0,1623.8,-105.26982645,40.01035842,0,-0.0349237,20,0,-255,0,0,0,0,0,0,0,0
