secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1667.6,-105.26976652,40.01058624,0,0,21,0,-255,0,0,0,0,0,0,0,0
2,42,0,0,0,0,25,1667.8,-105.26976643,40.01058658,0,0,21,0,16,0,0,0,0,0,0,0,0
3,87,0,0.00244,8.766,0,50,1668.2,-105.26976551,40.01058599,0,16.3934,21,0,61,0,0,0,0,0,0,0,0
4,82,0,0.00527,10.2132,0,12,1668,-105.26976518,40.01058666,0,-7.06714,21,0,61,0,0,0,0,0,0,0,0
5,82,0,0.00811,10.2132,0,23,1667.8,-105.26976451,40.01058599,0,-7.04225,21,0,61,0,0,0,0,0,0,0,0
6,76,0,0.01088,9.9756,0,86,1668,-105.26976384,40.01058674,0,7.22022,21,0,56,0,0,0,0,0,0,0,0
7,65,0,0.01436,12.528,0,45,1668,-105.26976291,40.01058624,0,0,21,0,69,0,0,0,0,0,0,0,0
8,67,0,0.01857,15.1488,0,107,1668,-105.26976417,40.01058708,0,0,21,0,46,0,0,0,0,0,0,0,0
9,83,0,0.02278,15.1488,0,111,1668,-105.26976518,40.01058641,0,0,21,0,66,0,0,0,0,0,0,0,0
10,83,0,0.02698,15.1488,0,169,1667.8,-105.26976627,40.01058515,0,0.474236,21,0,66,0,0,0,0,0,0,0,0
11,85,0,0.03206,18.2736,0,169,1667.8,-105.26976786,40.01058482,0,0.474236,21,0,46,0,0,0,0,0,0,0,0
12,89,0,0.0375,19.584,0,202,1668,-105.26976861,40.01058415,0,0.841883,21,0,48,0,0,0,0,0,0,0,0
13,93,0,0.04313,20.2536,0,184,1668,-105.26976995,40.01058498,0,-0.797461,21,0,50,0,0,0,0,0,0,0,0
14,96,0,0.04875,20.2536,0,157,1668,-105.26977071,40.01058574,0,-0.0907471,21,0,50,0,0,0,0,0,0,0,0
15,97,0,0.05465,21.2292,0,120,1668,-105.26977079,40.01058524,0,0.613478,21,0,42,0,0,0,0,0,0,0,0
16,99,0,0.06051,21.096,0,158,1668.2,-105.26977062,40.01058565,0,0.232754,21,0,44,0,0,0,0,0,0,0,0
17,101,0,0.06652,21.6324,0,129,1668.2,-105.26977037,40.01058565,0,0.232754,21,0,50,0,0,0,0,0,0,0,0
18,102,0,0.07273,22.3704,0,122,1668.2,-105.26977037,40.01058549,0,0.232754,21,0,49,0,0,0,0,0,0,0,0
19,102,0,0.07895,22.3704,0,109,1668.2,-105.26977037,40.01058532,0,0.232754,21,0,45,0,0,0,0,0,0,0,0
20,103,0,0.08516,22.3704,0,100,1668.2,-105.26977071,40.01058524,0,0.708944,21,0,45,0,0,0,0,0,0,0,0
21,103,0,0.09131,22.1364,0,118,1668.2,-105.26977088,40.01058507,0,0.708944,21,0,43,0,0,0,0,0,0,0,0
22,104,0,0.09753,22.4064,0,106,1668.2,-105.26977104,40.01058498,0,0.341297,21,0,47,0,0,0,0,0,0,0,0
23,104,0,0.10379,22.5396,0,109,1668.2,-105.26977121,40.01058515,0,0.341297,21,0,36,0,0,0,0,0,0,0,0
24,105,0,0.11006,22.5396,0,111,1668.2,-105.26977138,40.01058524,0,0.341297,21,0,42,0,0,0,0,0,0,0,0
25,104,0,0.11634,22.608,0,107,1668,-105.26977121,40.01058540,0,0.0228256,21,0,42,0,0,0,0,0,0,0,0
26,105,0,0.1226,22.5396,0,93,1668,-105.26977155,40.01058532,0,-0.318471,21,0,40,0,0,0,0,0,0,0,0
27,105,0,0.12891,22.7412,0,97,1668,-105.26977146,40.01058532,0,-0.318471,21,0,40,0,0,0,0,0,0,0,0
28,104,0,0.13523,22.7412,0,93,1668,-105.26977163,40.01058532,0,-0.318471,21,0,36,0,0,0,0,0,0,0,0
29,105,0,0.14155,22.7412,0,91,1668,-105.26977163,40.01058532,0,-0.318471,21,0,42,0,0,0,0,0,0,0,0
30,104,0,0.1478,22.5072,0,81,1668,-105.26977155,40.01058532,0,-0.318471,21,0,41,0,0,0,0,0,0,0,0
