secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1651.6,-105.26984497,40.01055213,0,0,22,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1651.4,-105.26984430,40.01055338,0,0,22,0,-255,0,0,0,0,0,0,0,0
3,34,0,0.00178,6.4152,0,7,1651.2,-105.26984397,40.01055196,0,-11.236,22,0,-255,0,0,0,0,0,0,0,0
4,61,0,0.00356,6.4152,0,9,1651,-105.26984405,40.01055372,0,-11.236,22,0,-255,0,0,0,0,0,0,0,0
5,64,0,0.00534,6.3828,0,18,1651.2,-105.26984430,40.01055255,0,11.236,22,0,-255,0,0,0,0,0,0,0,0
6,68,0,0.00728,6.9876,0,22,1651.2,-105.26984413,40.01055204,0,0,22,0,-255,0,0,0,0,0,0,0,0
7,70,0,0.00922,6.9876,0,28,1651.2,-105.26984439,40.01055372,0,0,22,0,44,0,0,0,0,0,0,0,0
8,76,0,0.01201,10.044,0,38,1651,-105.26984371,40.01055422,0,-7.16846,22,0,58,0,0,0,0,0,0,0,0
9,71,0,0.0148,10.044,0,27,1651,-105.26984455,40.01055464,0,0,22,0,38,0,0,0,0,0,0,0,0
10,73,0,0.01794,11.3184,0,78,1651,-105.26984422,40.01055481,0,-1.84044,22,0,51,0,0,0,0,0,0,0,0
11,68,0,0.02177,13.7736,0,62,1651,-105.26984263,40.01055514,0,-1.84044,22,0,52,0,0,0,0,0,0,0,0
12,66,0,0.02557,13.6728,0,78,1651,-105.26984204,40.01055472,0,-1.84044,22,0,47,0,0,0,0,0,0,0,0
13,65,0,0.02936,13.6728,0,11,1651,-105.26984187,40.01055422,0,-0.716846,22,0,60,0,0,0,0,0,0,0,0
14,65,0,0.03284,12.528,0,15,1651,-105.26984170,40.01055481,0,0.40675,22,0,60,0,0,0,0,0,0,0,0
15,65,0,0.03599,11.3184,0,15,1651,-105.26984095,40.01055573,0,-0.716846,22,0,60,0,0,0,0,0,0,0,0
16,26,0,0.03969,13.3344,0,15,1651,-105.26984070,40.01055615,0,-0.716846,22,0,64,0,0,0,0,0,0,0,0
17,65,0,0.04376,14.6448,0,104,1651.2,-105.26984087,40.01055674,0,-0.225445,22,0,61,0,0,0,0,0,0,0,0
18,68,0,0.04783,14.6448,0,108,1651.2,-105.26984103,40.01055707,0,0.4914,22,0,43,0,0,0,0,0,0,0,0
19,71,0,0.05208,15.318,0,99,1651.2,-105.26984179,40.01055682,0,0.4914,22,0,53,0,0,0,0,0,0,0,0
20,73,0,0.05634,15.318,0,117,1651.2,-105.26984179,40.01055691,0,0.4914,22,0,50,0,0,0,0,0,0,0,0
21,77,0,0.06099,16.7292,0,103,1651.2,-105.26984137,40.01055707,0,0.4914,22,0,50,0,0,0,0,0,0,0,0
22,78,0,0.0657,16.9632,0,94,1651.2,-105.26984078,40.01055791,0,0.4914,22,0,50,0,0,0,0,0,0,0,0
23,79,0,0.07041,16.9632,0,98,1651.2,-105.26983994,40.01055833,0,0.4914,22,0,54,0,0,0,0,0,0,0,0
24,81,0,0.0753,17.6004,0,68,1651.2,-105.26983936,40.01055900,0,0.4914,22,0,64,0,0,0,0,0,0,0,0
25,80,0,0.08007,17.1648,0,81,1651.2,-105.26983869,40.01055866,0,0.4914,22,0,47,0,0,0,0,0,0,0,0
26,82,0,0.085,17.7696,0,73,1651.2,-105.26983793,40.01055741,0,0.4914,22,0,50,0,0,0,0,0,0,0,0
27,83,0,0.08994,17.7696,0,80,1651.2,-105.26983776,40.01055757,0,0,22,0,50,0,0,0,0,0,0,0,0
28,84,0,0.09494,18.0036,0,78,1651.2,-105.26983793,40.01055732,0,0,22,0,44,0,0,0,0,0,0,0,0
29,86,0,0.09994,18.0036,0,77,1651.2,-105.26983802,40.01055724,0,0,22,0,67,0,0,0,0,0,0,0,0
30,86,0,0.10509,18.5436,0,69,1651,-105.26983760,40.01055682,0,-0.38835,22,0,57,0,0,0,0,0,0,0,0
31,86,0,0.11027,18.6444,0,74,1651,-105.26983835,40.01055640,0,-0.38835,22,0,70,0,0,0,0,0,0,0,0
32,86,0,0.11545,18.6444,0,45,1651,-105.26983910,40.01055607,0,-0.38835,22,0,61,0,0,0,0,0,0,0,0
33,85,0,0.12061,18.576,0,37,1651,-105.26984003,40.01055556,0,-0.38835,22,0,78,0,0,0,0,0,0,0,0
34,84,0,0.12564,18.1044,0,48,1651,-105.26983994,40.01055674,0,-0.38835,22,0,78,0,0,0,0,0,0,0,0
35,80,0,0.13102,19.3824,0,116,1651,-105.26983927,40.01055590,0,-0.38835,22,0,52,0,0,0,0,0,0,0,0
36,82,0,0.13645,19.548,0,104,1651,-105.26983994,40.01055607,0,-0.38835,22,0,52,0,0,0,0,0,0,0,0
37,81,0,0.14188,19.548,0,111,1651,-105.26983944,40.01055540,0,-0.38835,22,0,49,0,0,0,0,0,0,0,0
38,83,0,0.14741,19.8864,0,107,1651,-105.26983818,40.01055548,0,-0.38835,22,0,51,0,0,0,0,0,0,0,0
39,83,0,0.15298,20.052,0,97,1651,-105.26983810,40.01055514,0,-0.38835,22,0,46,0,0,0,0,0,0,0,0
40,84,0,0.15864,20.3904,0,102,1651,-105.26983785,40.01055498,0,0,22,0,47,0,0,0,0,0,0,0,0
41,86,0,0.16438,20.6568,0,87,1651,-105.26983785,40.01055640,0,0,22,0,43,0,0,0,0,0,0,0,0
42,86,0,0.17012,20.6568,0,89,1651,-105.26983751,40.01055640,0,0,22,0,41,0,0,0,0,0,0,0,0
43,86,0,0.17584,20.592,0,61,1651,-105.26983760,40.01055732,0,0,22,0,46,0,0,0,0,0,0,0,0
44,85,0,0.18153,20.4912,0,79,1651,-105.26983718,40.01055649,0,0,22,0,34,0,0,0,0,0,0,0,0
45,87,0,0.1873,20.7936,0,89,1651.2,-105.26983768,40.01055757,0,0.34662,22,0,35,0,0,0,0,0,0,0,0
46,86,0,0.19308,20.7936,0,82,1651,-105.26983718,40.01055757,0,0,22,0,35,0,0,0,0,0,0,0,0
47,86,0,0.19883,20.6928,0,79,1651,-105.26983693,40.01055757,0,0,22,0,44,0,0,0,0,0,0,0,0
48,86,0,0.20464,20.9268,0,87,1651,-105.26983684,40.01055741,0,0,22,0,47,0,0,0,0,0,0,0,0
49,86,0,0.21038,20.6568,0,69,1651,-105.26983726,40.01055741,0,0,22,0,44,0,0,0,0,0,0,0,0
50,86,0,0.21611,20.6244,0,66,1650.8,-105.26983793,40.01055682,0,-0.34844,22,0,56,0,0,0,0,0,0,0,0
51,87,0,0.22184,20.6244,0,92,1651,-105.26983776,40.01055808,0,0,22,0,51,0,0,0,0,0,0,0,0
52,87,0,0.22765,20.9268,0,78,1651,-105.26983542,40.01055875,0,0,22,0,48,0,0,0,0,0,0,0,0
53,87,0,0.2335,21.06,0,88,1651,-105.26983575,40.01055883,0,0,22,0,55,0,0,0,0,0,0,0,0
54,87,0,0.23931,20.9268,0,69,1651,-105.26983567,40.01055850,0,0,22,0,40,0,0,0,0,0,0,0,0
55,88,0,0.24519,21.1608,0,73,1651,-105.26983458,40.01055850,0,-0.346021,22,0,57,0,0,0,0,0,0,0,0
56,87,0,0.25107,21.1608,0,65,1651,-105.26983550,40.01055850,0,0,22,0,48,0,0,0,0,0,0,0,0
